start_time,end_time,topic,article_count,total_edits,sample_titles,batch_id
2026-05-28T20:09:00.000+02:00,2026-05-28T20:14:00.000+02:00,File:Mapillary,24,24,File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (1251617287079324 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M55S000 (1607799373582797 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M06S000 (2049788282473506 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (872481928975699 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-03-10 14H57M26S375 (804784152050412 at KY1rGPHiXLuF7aeb6s049B).jpg | File:Mapillary (osmplus org) 2026-01-16 10H37M39S000 (1905102437549127 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H37M35S000 (1716561786415570 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (1192501649749161 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H37M56S000 (894493669714953 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M32S000 (1551246879479444 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (2053588208811576 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M51S000 (853480120783389 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M30S000 (1194563256202988 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M20S000 (892504743510044 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (856942303805181 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-02-27 07H39M55S583 (1249514936672297 at 2zZFQf60Hu4xNtcwK5RsdM).jpg | File:Mapillary (osmplus org) 2026-01-16 10H37M56S000 (2018568975392587 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-04-08 12H34M01S583 (943505891613211 at pVhxZ4vXWQUj5DP816Tkwm).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (26288856214048461 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (864617439505296 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M07S000 (1936286917308662 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-03-10 15H03M06S583 (790773024076527 at aWnsjFb7AzVL69q1PKyxhC).jpg | File:Mapillary (3SDEjMHmtZGoVdlvOhsqp5) (sanjorgepinho) 2025-07-26 12H31M02S040.jpg,45
2026-05-28T20:09:00.000+02:00,2026-05-28T20:14:00.000+02:00,Nacoleia,22,24,Nacoleia fumidalis | Nacoleia glageropa | Nacoleia euryphaealis | Nacoleia aurealis | Nacoleia charesalis | Nacoleia dactyloptila | Nacoleia gressitti | Nacoleia defloralis | Nacoleia eximialis | Nacoleia disemalis | Nacoleia distinctalis | Nacoleia immundalis | Nacoleia inouei | Nacoleia fuscicilialis | Nacoleia fuscifusalis | Nacoleia conisota | Nacoleia insolitalis | Nacoleia chagosalis | Nacoleia aurantiimaculalis | Nacoleia aurotinctalis | Nacoleia dizona | Nacoleia chromalis | Nacoleia fuscalis | Nacoleia auronitens,45
2026-05-28T20:12:00.000+02:00,2026-05-28T20:17:00.000+02:00,Nacoleia,22,24,Nacoleia fumidalis | Nacoleia glageropa | Nacoleia euryphaealis | Nacoleia aurealis | Nacoleia charesalis | Nacoleia dactyloptila | Nacoleia gressitti | Nacoleia defloralis | Nacoleia eximialis | Nacoleia disemalis | Nacoleia distinctalis | Nacoleia immundalis | Nacoleia inouei | Nacoleia fuscicilialis | Nacoleia fuscifusalis | Nacoleia conisota | Nacoleia insolitalis | Nacoleia chagosalis | Nacoleia aurantiimaculalis | Nacoleia aurotinctalis | Nacoleia dizona | Nacoleia chromalis | Nacoleia fuscalis | Nacoleia auronitens,45
2026-05-28T20:10:00.000+02:00,2026-05-28T20:15:00.000+02:00,Nacoleia,22,24,Nacoleia fumidalis | Nacoleia glageropa | Nacoleia euryphaealis | Nacoleia aurealis | Nacoleia charesalis | Nacoleia dactyloptila | Nacoleia gressitti | Nacoleia defloralis | Nacoleia eximialis | Nacoleia disemalis | Nacoleia distinctalis | Nacoleia immundalis | Nacoleia inouei | Nacoleia fuscicilialis | Nacoleia fuscifusalis | Nacoleia conisota | Nacoleia insolitalis | Nacoleia chagosalis | Nacoleia aurantiimaculalis | Nacoleia aurotinctalis | Nacoleia dizona | Nacoleia chromalis | Nacoleia fuscalis | Nacoleia auronitens,45
2026-05-28T20:13:00.000+02:00,2026-05-28T20:18:00.000+02:00,Nacoleia,22,24,Nacoleia fumidalis | Nacoleia glageropa | Nacoleia euryphaealis | Nacoleia aurealis | Nacoleia charesalis | Nacoleia dactyloptila | Nacoleia gressitti | Nacoleia defloralis | Nacoleia eximialis | Nacoleia disemalis | Nacoleia distinctalis | Nacoleia immundalis | Nacoleia inouei | Nacoleia fuscicilialis | Nacoleia fuscifusalis | Nacoleia conisota | Nacoleia insolitalis | Nacoleia chagosalis | Nacoleia aurantiimaculalis | Nacoleia aurotinctalis | Nacoleia dizona | Nacoleia chromalis | Nacoleia fuscalis | Nacoleia auronitens,45
2026-05-28T20:11:00.000+02:00,2026-05-28T20:16:00.000+02:00,Nacoleia,22,24,Nacoleia fumidalis | Nacoleia glageropa | Nacoleia euryphaealis | Nacoleia aurealis | Nacoleia charesalis | Nacoleia dactyloptila | Nacoleia gressitti | Nacoleia defloralis | Nacoleia eximialis | Nacoleia disemalis | Nacoleia distinctalis | Nacoleia immundalis | Nacoleia inouei | Nacoleia fuscicilialis | Nacoleia fuscifusalis | Nacoleia conisota | Nacoleia insolitalis | Nacoleia chagosalis | Nacoleia aurantiimaculalis | Nacoleia aurotinctalis | Nacoleia dizona | Nacoleia chromalis | Nacoleia fuscalis | Nacoleia auronitens,45
2026-05-28T20:09:00.000+02:00,2026-05-28T20:14:00.000+02:00,File:LGL-BW,9,17,File:LGL-BW - DOP - 567000 5423000 (1972).png | File:LGL-BW - DOP - 566000 5487000 (1972).png | File:LGL-BW - DOP - 567000 5424000 (1972).png | File:LGL-BW - DOP - 566000 5486000 (1972).png | File:LGL-BW - DOP - 567000 5426000 (1972).png | File:LGL-BW - DOP - 566000 5483000 (1972).png | File:LGL-BW - DOP - 566000 5484000 (1972).png | File:LGL-BW - DOP - 567000 5425000 (1972).png | File:LGL-BW - DOP - 566000 5485000 (1972).png,45
2026-05-28T20:11:00.000+02:00,2026-05-28T20:16:00.000+02:00,File:Mapillary,15,16,File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (1251617287079324 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M55S000 (1607799373582797 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M06S000 (2049788282473506 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (872481928975699 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (1192501649749161 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M32S000 (1551246879479444 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (2053588208811576 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M51S000 (853480120783389 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M30S000 (1194563256202988 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M20S000 (892504743510044 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (856942303805181 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-02-27 07H39M55S583 (1249514936672297 at 2zZFQf60Hu4xNtcwK5RsdM).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (26288856214048461 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (864617439505296 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M07S000 (1936286917308662 at cWhmgUvV2frIAHQaOSzjNZ).jpg,45
2026-05-28T20:10:00.000+02:00,2026-05-28T20:15:00.000+02:00,File:Mapillary,15,16,File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (1251617287079324 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M55S000 (1607799373582797 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M06S000 (2049788282473506 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (872481928975699 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (1192501649749161 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M32S000 (1551246879479444 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (2053588208811576 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M51S000 (853480120783389 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M30S000 (1194563256202988 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M20S000 (892504743510044 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (856942303805181 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-02-27 07H39M55S583 (1249514936672297 at 2zZFQf60Hu4xNtcwK5RsdM).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (26288856214048461 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (864617439505296 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M07S000 (1936286917308662 at cWhmgUvV2frIAHQaOSzjNZ).jpg,45
2026-05-28T20:12:00.000+02:00,2026-05-28T20:17:00.000+02:00,File:Mapillary,15,16,File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (1251617287079324 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M55S000 (1607799373582797 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M06S000 (2049788282473506 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (872481928975699 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (1192501649749161 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M32S000 (1551246879479444 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (2053588208811576 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M51S000 (853480120783389 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M30S000 (1194563256202988 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M20S000 (892504743510044 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M08S000 (856942303805181 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-02-27 07H39M55S583 (1249514936672297 at 2zZFQf60Hu4xNtcwK5RsdM).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M26S000 (26288856214048461 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H30M19S000 (864617439505296 at cWhmgUvV2frIAHQaOSzjNZ).jpg | File:Mapillary (osmplus org) 2026-01-16 10H31M07S000 (1936286917308662 at cWhmgUvV2frIAHQaOSzjNZ).jpg,45
